amendment	plant_code	plant_species	tissue	dryweight
_Control	A	Allium cepa	root	0.0018
_Control	A	Allium cepa	root	0.0011
_Control	A	Allium cepa	root	0.004
_Control	A	Allium cepa	root	0.0027
_Control	A	Allium cepa	root	0.0008
_Control	A	Allium cepa	root	0.0022
_Control	A	Allium cepa	root	0.0009
_Control	A	Allium cepa	root	0.0017
_Control	A	Allium cepa	root	0.0004
_Control	A	Allium cepa	root	0.0031
_Control	A	Allium cepa	root	0.0002
_Control	A	Allium cepa	root	0.0016
_Control	A	Allium cepa	root	0.002
_Control	B	Daucus carota	root	0.0015
_Control	B	Daucus carota	root	0.0009
_Control	B	Daucus carota	root	1E-04
_Control	B	Daucus carota	root	0.0013
_Control	B	Daucus carota	root	0.0009
_Control	B	Daucus carota	root	0.0018
_Control	B	Daucus carota	root	0.0021
_Control	B	Daucus carota	root	0.0015
_Control	B	Daucus carota	root	0.002
_Control	B	Daucus carota	root	0.0031
_Control	B	Daucus carota	root	0.0011
_Control	B	Daucus carota	root	0.002
_Control	B	Daucus carota	root	0.001
_Control	B	Daucus carota	root	0.0018
_Control	C	Brassica napus	root	0.0015
_Control	C	Brassica napus	root	0.0171
_Control	C	Brassica napus	root	0.002
_Control	C	Brassica napus	root	0.0037
_Control	C	Brassica napus	root	0.0067
_Control	C	Brassica napus	root	0.0027
_Control	C	Brassica napus	root	0.0002
_Control	C	Brassica napus	root	0.0043
_Control	C	Brassica napus	root	0.0023
_Control	C	Brassica napus	root	0.0027
_Control	C	Brassica napus	root	0.0046
_Control	C	Brassica napus	root	0.0047
_Control	C	Brassica napus	root	0.0023
_Control	C	Brassica napus	root	0.0042
_Control	C	Brassica napus	root	0.005
_Control	C	Brassica napus	root	0.0064
_Control	C	Brassica napus	root	0.0032
_Control	C	Brassica napus	root	0.0058
_Control	C	Brassica napus	root	0.0098
_Control	C	Brassica napus	root	0.004
_Control	C	Brassica napus	root	0.0042
_Control	C	Brassica napus	root	0.0046
_Control	D	B. oleracea var gemmifera	root	0.0009
_Control	D	B. oleracea var gemmifera	root	0.0029
_Control	D	B. oleracea var gemmifera	root	0.0072
_Control	D	B. oleracea var gemmifera	root	0.0036
_Control	D	B. oleracea var gemmifera	root	0.004
_Control	D	B. oleracea var gemmifera	root	0.0056
_Control	D	B. oleracea var gemmifera	root	0.0057
_Control	D	B. oleracea var gemmifera	root	0.0064
_Control	D	B. oleracea var gemmifera	root	0.0068
_Control	D	B. oleracea var gemmifera	root	0.0069
_Control	D	B. oleracea var gemmifera	root	0.0101
_Control	D	B. oleracea var gemmifera	root	0.0057
_Control	D	B. oleracea var gemmifera	root	0.0012
_Control	D	B. oleracea var gemmifera	root	0.0018
_Control	D	B. oleracea var gemmifera	root	0.0082
_Control	D	B. oleracea var gemmifera	root	0.0035
_Control	D	B. oleracea var gemmifera	root	0.0049
_Control	D	B. oleracea var gemmifera	root	0.0082
_Control	D	B. oleracea var gemmifera	root	0.008
_Control	D	B. oleracea var gemmifera	root	0.007
_Control	D	B. oleracea var gemmifera	root	0.0051
_Control	D	B. oleracea var gemmifera	root	0.0051
_Control	D	B. oleracea var gemmifera	root	0.0022
_Control	D	B. oleracea var gemmifera	root	0.0044
_Control	D	B. oleracea var gemmifera	root	0.005
_Control	D	B. oleracea var gemmifera	root	0.0053
_Control	D	B. oleracea var gemmifera	root	0.0047
_Control	D	B. oleracea var gemmifera	root	0.0044
_Control	D	B. oleracea var gemmifera	root	0.0032
_Control	E	Cucurbita maxima	root	0.0204
_Control	E	Cucurbita maxima	root	0.0465
_Control	E	Cucurbita maxima	root	0.0349
_Control	E	Cucurbita maxima	root	0.0389
_Control	E	Cucurbita maxima	root	0.0396
_Control	E	Cucurbita maxima	root	0.0345
_Control	E	Cucurbita maxima	root	0.031
_Control	E	Cucurbita maxima	root	0.0212
_Control	E	Cucurbita maxima	root	0.0331
_Control	E	Cucurbita maxima	root	0.0376
_Control	E	Cucurbita maxima	root	0.0088
_Control	E	Cucurbita maxima	root	0.054
_Control	E	Cucurbita maxima	root	0.0393
_Control	E	Cucurbita maxima	root	0.0303
_Control	E	Cucurbita maxima	root	0.0328
_Control	E	Cucurbita maxima	root	0.0216
_Control	E	Cucurbita maxima	root	0.0333
_Control	E	Cucurbita maxima	root	0.0356
_Control	E	Cucurbita maxima	root	0.0351
_Control	E	Cucurbita maxima	root	0.0354
_Control	E	Cucurbita maxima	root	0.0409
_Control	E	Cucurbita maxima	root	0.0402
_Control	E	Cucurbita maxima	root	0.0344
_Control	E	Cucurbita maxima	root	0.0322
_Control	E	Cucurbita maxima	root	0.0397
_Control	E	Cucurbita maxima	root	0.0379
_Control	E	Cucurbita maxima	root	0.0321
_Control	E	Cucurbita maxima	root	0.0283
_Control	F	Raphanus sativus	root	0.0008
_Control	F	Raphanus sativus	root	0.0024
_Control	F	Raphanus sativus	root	0.0044
_Control	F	Raphanus sativus	root	0.0064
_Control	F	Raphanus sativus	root	0.0044
_Control	F	Raphanus sativus	root	0.0022
_Control	F	Raphanus sativus	root	0.0039
_Control	F	Raphanus sativus	root	0.0096
_Control	F	Raphanus sativus	root	0.0073
_Control	F	Raphanus sativus	root	0.0025
_Control	F	Raphanus sativus	root	0.011
_Control	F	Raphanus sativus	root	0.0044
_Control	F	Raphanus sativus	root	0.0038
_Control	F	Raphanus sativus	root	0.0047
_Control	F	Raphanus sativus	root	0.007
_Control	F	Raphanus sativus	root	0.0067
_Control	F	Raphanus sativus	root	0.0056
_Control	F	Raphanus sativus	root	0.0056
_Control	F	Raphanus sativus	root	0.012
_Control	F	Raphanus sativus	root	0.0058
_Control	F	Raphanus sativus	root	0.0089
_Control	F	Raphanus sativus	root	0.0093
_Control	F	Raphanus sativus	root	0.0063
_Control	F	Raphanus sativus	root	0.0019
_Control	G	Beta vulgaris	root	0.0006
