amendment	plant_code	plant_species	replicate	germ_success	germ_time							
_Control	A	Allium cepa	1	0								
_Control	A	Allium cepa	2	1	9							
_Control	A	Allium cepa	3	0								
_Control	A	Allium cepa	4	0								
_Control	A	Allium cepa	5	1	8							
_Control	A	Allium cepa	6	1	8							
_Control	A	Allium cepa	7	0								
_Control	A	Allium cepa	8	1	7							
_Control	A	Allium cepa	9	1	6							
_Control	A	Allium cepa	10	0								
_Control	A	Allium cepa	11	0								
_Control	A	Allium cepa	12	1	8							
_Control	A	Allium cepa	13	1	8							
_Control	A	Allium cepa	14	1	8							
_Control	A	Allium cepa	15	1	8							
_Control	A	Allium cepa	16	0								
_Control	A	Allium cepa	17	0								
_Control	A	Allium cepa	18	1	8							
_Control	A	Allium cepa	19	1	9							
_Control	A	Allium cepa	20	1	8							
_Control	A	Allium cepa	21	1	8							
_Control	A	Allium cepa	22	1	8							
_Control	A	Allium cepa	23	1	8							
_Control	A	Allium cepa	24	0								
_Control	A	Allium cepa	25	1	7							
_Control	A	Allium cepa	26	0								
_Control	A	Allium cepa	27	1	7							
_Control	A	Allium cepa	28	1	8							
_Control	A	Allium cepa	29	1	13							
_Control	A	Allium cepa	30	1	8							
_Control	B	Daucus carota	1	0								
_Control	B	Daucus carota	2	1	9							
_Control	B	Daucus carota	3	0								
_Control	B	Daucus carota	4	1	8							
_Control	B	Daucus carota	5	1	8							
_Control	B	Daucus carota	6	0								
_Control	B	Daucus carota	7	1	6							
_Control	B	Daucus carota	8	1	8							
_Control	B	Daucus carota	9	0								
_Control	B	Daucus carota	10	1	12							
_Control	B	Daucus carota	11	0								
_Control	B	Daucus carota	12	1	9							
_Control	B	Daucus carota	13	0								
_Control	B	Daucus carota	14	0								
_Control	B	Daucus carota	15	1	8							
_Control	B	Daucus carota	16	1	8							
_Control	B	Daucus carota	17	1	8							
_Control	B	Daucus carota	18	1	6							
_Control	B	Daucus carota	19	0								
_Control	B	Daucus carota	20	0								
_Control	B	Daucus carota	21	1	8							
_Control	B	Daucus carota	22	1	12							
_Control	B	Daucus carota	23	1	6							
_Control	B	Daucus carota	24	1	8							
_Control	B	Daucus carota	25	0								
_Control	B	Daucus carota	26	0								
_Control	B	Daucus carota	27	1	8							
_Control	B	Daucus carota	28	1	10							
_Control	B	Daucus carota	29	0								
_Control	B	Daucus carota	30	1	10							
_Control	C	Brassica napus	1	1	6							
_Control	C	Brassica napus	2	0								
_Control	C	Brassica napus	3	1	4							
_Control	C	Brassica napus	4	1	3							
_Control	C	Brassica napus	5	0								
_Control	C	Brassica napus	6	1	5							
_Control	C	Brassica napus	7	1	5							
_Control	C	Brassica napus	8	1	5							
_Control	C	Brassica napus	9	1	3							
_Control	C	Brassica napus	10	1	11							
_Control	C	Brassica napus	11	1	4							
_Control	C	Brassica napus	12	1	4							
_Control	C	Brassica napus	13	0								
_Control	C	Brassica napus	14	1	5							
_Control	C	Brassica napus	15	1	4							
_Control	C	Brassica napus	16	1	7							
_Control	C	Brassica napus	17	1	5							
_Control	C	Brassica napus	18	1	4							
_Control	C	Brassica napus	19	1	4							
_Control	C	Brassica napus	20	1	5							
_Control	C	Brassica napus	21	1	4							
_Control	C	Brassica napus	22	0								
_Control	C	Brassica napus	23	1	4							
_Control	C	Brassica napus	24	1	4							
_Control	C	Brassica napus	25	1	5							
_Control	C	Brassica napus	26	1	5							
_Control	C	Brassica napus	27	0								
_Control	C	Brassica napus	28	1	5							
_Control	C	Brassica napus	29	1	5							
_Control	C	Brassica napus	30	1	7							
_Control	D	B. oleracea var gemmifera	1	1	4							
_Control	D	B. oleracea var gemmifera	2	1	4							
_Control	D	B. oleracea var gemmifera	3	1	4							
_Control	D	B. oleracea var gemmifera	4	1	7							
_Control	D	B. oleracea var gemmifera	5	1	6							
_Control	D	B. oleracea var gemmifera	6	1	4							
_Control	D	B. oleracea var gemmifera	7	1	4							
_Control	D	B. oleracea var gemmifera	8	1	5							
_Control	D	B. oleracea var gemmifera	9	1	4							
_Control	D	B. oleracea var gemmifera	10	1	5							
_Control	D	B. oleracea var gemmifera	11	1	4							
_Control	D	B. oleracea var gemmifera	12	1	5							
_Control	D	B. oleracea var gemmifera	13	1	4							
_Control	D	B. oleracea var gemmifera	14	1	5							
