treatment	plant_species	replicate	sowing_date	germ_date	germ_time
Control	A2	1	4/13/2023	4/22/2023	9
Control	A5	2	4/13/2023	4/21/2023	8
Control	A6	3	4/13/2023	4/21/2023	8
Control	A8	4	4/13/2023	4/20/2023	7
Control	A9	5	4/13/2023	4/19/2023	6
Control	A12	6	4/13/2023	4/21/2023	8
Control	A13	7	4/13/2023	4/21/2023	8
Control	A14	8	4/13/2023	4/21/2023	8
Control	A15	9	4/13/2023	4/21/2023	8
Control	A18	10	4/13/2023	4/21/2023	8
Control	A19	11	4/13/2023	4/22/2023	9
Control	A20	12	4/13/2023	4/21/2023	8
Control	A21	13	4/13/2023	4/21/2023	8
Control	A22	14	4/13/2023	4/21/2023	8
Control	A23	15	4/13/2023	4/21/2023	8
Control	A25	16	4/13/2023	4/20/2023	7
Control	A27	17	4/13/2023	4/20/2023	7
Control	A28	18	4/13/2023	4/21/2023	8
Control	A29	19	4/13/2023	4/26/2023	13
Control	A30	20	4/13/2023	4/21/2023	8
Control	B2	1	4/13/2023	4/22/2023	9
Control	B4	2	4/13/2023	4/21/2023	8
Control	B5	3	4/13/2023	4/21/2023	8
Control	B7	4	4/13/2023	4/19/2023	6
Control	B8	5	4/13/2023	4/21/2023	8
Control	B10	6	4/13/2023	4/25/2023	12
Control	B12	7	4/13/2023	4/22/2023	9
Control	B15	8	4/13/2023	4/21/2023	8
Control	B16	9	4/13/2023	4/21/2023	8
Control	B17	10	4/13/2023	4/21/2023	8
Control	B18	11	4/13/2023	4/19/2023	6
Control	B21	12	4/13/2023	4/21/2023	8
Control	B22	13	4/13/2023	4/25/2023	12
Control	B23	14	4/13/2023	4/19/2023	6
Control	B24	15	4/13/2023	4/21/2023	8
Control	B27	16	4/13/2023	4/21/2023	8
Control	B28	17	4/13/2023	4/23/2023	10
Control	B30	18	4/13/2023	4/23/2023	10
Control	C1	1	4/13/2023	4/19/2023	6
Control	C3	2	4/13/2023	4/17/2023	4
Control	C4	3	4/13/2023	4/16/2023	3
Control	C6	4	4/13/2023	4/18/2023	5
Control	C7	5	4/13/2023	4/18/2023	5
Control	C8	6	4/13/2023	4/18/2023	5
Control	C9	7	4/13/2023	4/16/2023	3
Control	C10	8	4/13/2023	4/24/2023	11
Control	C11	9	4/13/2023	4/17/2023	4
Control	C12	10	4/13/2023	4/17/2023	4
Control	C14	11	4/13/2023	4/18/2023	5
Control	C15	12	4/13/2023	4/17/2023	4
Control	C16	13	4/13/2023	4/20/2023	7
Control	C17	14	4/13/2023	4/18/2023	5
Control	C18	15	4/13/2023	4/17/2023	4
Control	C19	16	4/13/2023	4/17/2023	4
Control	C20	17	4/13/2023	4/18/2023	5
Control	C21	18	4/13/2023	4/17/2023	4
Control	C23	19	4/13/2023	4/17/2023	4
Control	C24	20	4/13/2023	4/17/2023	4
Control	C25	21	4/13/2023	4/18/2023	5
Control	C26	22	4/13/2023	4/18/2023	5
Control	C28	23	4/13/2023	4/18/2023	5
Control	C29	24	4/13/2023	4/18/2023	5
Control	C30	25	4/13/2023	4/20/2023	7
Control	D1	1	4/13/2023	4/17/2023	4
Control	D2	2	4/13/2023	4/17/2023	4
Control	D3	3	4/13/2023	4/17/2023	4
Control	D4	4	4/13/2023	4/20/2023	7
Control	D5	5	4/13/2023	4/19/2023	6
Control	D6	6	4/13/2023	4/17/2023	4
Control	D7	7	4/13/2023	4/17/2023	4
Control	D8	8	4/13/2023	4/18/2023	5
Control	D9	9	4/13/2023	4/17/2023	4
Control	D10	10	4/13/2023	4/18/2023	5
Control	D11	11	4/13/2023	4/17/2023	4
Control	D12	12	4/13/2023	4/18/2023	5
Control	D13	13	4/13/2023	4/17/2023	4
Control	D14	14	4/13/2023	4/18/2023	5
Control	D15	15	4/13/2023	4/17/2023	4
Control	D16	16	4/13/2023	4/21/2023	8
